"id","scenarioId","passed","intent","status","supportLevel","attempts","duplicateAttempts","misconceptionId","directAnswerWithheld","hasNumericProgress"
"bare-result-diagnosed-without-escalation","makerspace-plans","true","misconception","working","0","0","0","reported-cost-not-input","true","false"
"garden-area-misconception","garden-design","true","misconception","working","1","1","0","used-area-formula","true","false"
"ticket-average-misconception","ticket-mix","true","misconception","working","1","1","0","used-average-as-count","true","false"
"unsupported-wrong-answers-do-not-climb","makerspace-plans","true","minimal_attempt","working","0","0","0","","true","false"
"duplicate-reasoning-does-not-climb","makerspace-plans","true","duplicate_attempt","working","1","1","1","","true","false"
"repeated-hint-clicks-are-evidence-gated","garden-design","true","hint_request_held","working","1","0","0","","true","false"
"repeated-answer-requests-are-evidence-gated","ticket-mix","true","answer_request_redirect","working","1","0","0","","true","false"
"meaningful-use-unlocks-each-level","makerspace-plans","true","incorrect","working","4","4","0","","false","false"
"correct-result-needs-explanation","garden-design","true","correct","awaiting_explanation","0","0","0","","false","false"
"complete-learning-cycle","ticket-mix","true","explanation_complete","complete","0","0","0","","false","false"
"shallow-explanation-reprompt","makerspace-plans","true","explanation_incomplete","awaiting_explanation","0","0","0","","false","false"
"empty-turn-is-not-evidence","makerspace-plans","true","empty","working","0","0","0","","true","false"
"makerspace-plans-live-answer-guard","makerspace-plans","true","","","","","","","",""
"garden-design-live-answer-guard","garden-design","true","","","","","","","",""
"ticket-mix-live-answer-guard","ticket-mix","true","","","","","","","",""
